id,classe,inizio,fine
16,4,31,74
16,1,76,90
16,2,92,123
16,3,125,166
16,3,179,320
16,3,339,372
16,2,376,413
16,3,417,508
16,4,511,543
16,3,550,642
16,1,738,756
16,3,761,817
16,0,842,937
16,0,952,974
16,2,1035,1097
16,3,1103,1251
16,3,1260,1350
16,1,1356,1393
16,3,1401,1430
16,3,1481,1535
16,1,1571,1594
16,2,1601,1639
16,3,1644,1761
16,3,1780,1841
16,4,1853,1874
16,0,1890,1909
16,3,1918,1956
16,1,2001,2074
16,1,2082,2131
16,2,2138,2193
16,3,2200,2397
16,0,2402,2419
16,1,2421,2446
16,2,2450,2496
16,3,2502,2655
16,5,2656,2678
16,3,2681,2874
16,1,2892,2935
16,1,2940,2962
16,5,2967,3146
16,3,3149,3171
16,1,3176,3204
16,5,3212,3284
16,1,3288,3348
16,2,3433,3489
16,3,3495,3640
16,3,3682,3772
16,1,3786,3822
16,1,3831,3885
16,2,3898,3954
16,3,3966,4196
16,3,4230,4291
16,5,4302,4509
16,2,4521,4553
16,3,4570,4814
16,1,4831,5027
16,2,5040,5069
16,3,5087,5359
16,2,5367,5410
16,3,5417,5510
16,5,5524,5579
16,3,5592,5681
16,2,5695,5742
16,3,5752,5972
16,3,5982,6078
16,3,6088,6190
16,2,6205,6237
16,3,6258,6455
16,2,6468,6496
16,3,6512,6742
16,3,6755,6837
16,2,6847,6889
16,3,6901,7258
16,2,7271,7307
16,3,7317,7587
16,2,7594,7648
16,3,7658,7850
16,5,7855,7887
16,4,7887,7951
